clast_ID,x,y,Ellipse_major_axis,Ellipse_minor_axis,Clast_length,Clast_width,Surface_area,Score,Orientation
1.00000,558294.37734,6981604.98536,0.07086,0.06083,0.06684,0.05849,0.00368,0.99759,70.98904
2.00000,558294.25301,6981604.74712,0.10643,0.05645,0.10325,0.05645,0.00509,0.99733,81.05673
3.00000,558294.09144,6981604.69593,0.09161,0.06028,0.08995,0.05997,0.00466,0.99671,172.68489
4.00000,558293.77668,6981605.06966,0.09647,0.09150,0.09870,0.09289,0.00737,0.99537,66.99057
5.00000,558293.82785,6981604.75591,0.11014,0.06302,0.10900,0.06381,0.00585,0.98983,36.39946
6.00000,558294.39122,6981604.59198,0.10035,0.07517,0.09870,0.07253,0.00619,0.98938,48.04544
7.00000,558294.19495,6981605.05655,0.08090,0.04130,0.07471,0.04067,0.00287,0.98745,54.89077
8.00000,558294.33803,6981604.81543,0.06763,0.05860,0.06507,0.05694,0.00336,0.98561,59.17200
9.00000,558293.80584,6981604.62001,0.14861,0.05392,0.13725,0.04862,0.00663,0.98456,157.03257
10.00000,558294.31240,6981604.47378,0.09165,0.05922,0.08899,0.05938,0.00460,0.98228,102.25719
11.00000,558294.09081,6981604.42581,0.15895,0.09670,0.14993,0.08981,0.01242,0.97854,129.34633
12.00000,558294.32042,6981604.33088,0.08552,0.06683,0.08268,0.06630,0.00481,0.97777,52.61957
13.00000,558294.43772,6981604.94892,0.05663,0.03267,0.05610,0.03261,0.00166,0.97391,47.42731
14.00000,558293.84359,6981604.49778,0.07201,0.03294,0.07039,0.03217,0.00209,0.95890,26.34655
15.00000,558294.53375,6981604.41855,0.07915,0.06032,0.07557,0.05726,0.00405,0.95044,27.68461
16.00000,558294.27872,6981604.87298,0.09501,0.05621,0.08877,0.05585,0.00451,0.93980,86.79905
17.00000,558294.14852,6981605.13405,0.06689,0.04805,0.06471,0.04759,0.00278,0.91836,128.83433
18.00000,558294.40143,6981604.31250,0.07449,0.04527,0.07187,0.04539,0.00292,0.91418,100.64237
19.00000,558294.49413,6981605.16723,0.06281,0.02859,0.05951,0.02232,0.00146,0.88993,91.78868
20.00000,558293.69288,6981605.04064,0.09140,0.05364,0.08714,0.05332,0.00406,0.88695,125.39024
21.00000,558294.13205,6981605.02187,0.06095,0.04640,0.05919,0.04442,0.00246,0.87221,73.22740
22.00000,558294.43158,6981604.49036,0.17333,0.09470,0.15986,0.08785,0.01318,0.84465,54.07925
23.00000,558294.32889,6981605.06518,0.07056,0.03971,0.07142,0.03968,0.00245,0.83602,51.36934
24.00000,558294.58306,6981604.80372,0.06975,0.03546,0.06366,0.03370,0.00213,0.83080,83.12512
25.00000,558293.93458,6981604.82855,0.07668,0.04723,0.07225,0.04588,0.00308,0.82497,22.14999
26.00000,558294.04871,6981604.54607,0.08602,0.06278,0.08365,0.06318,0.00457,0.81005,13.95639
27.00000,558293.71923,6981604.91723,0.11523,0.04662,0.10429,0.04294,0.00448,0.80990,166.01574
28.00000,558294.25857,6981604.97218,0.08738,0.05784,0.08813,0.05876,0.00423,0.80149,55.17373
29.00000,558293.93221,6981604.46715,0.12526,0.08003,0.11527,0.07519,0.00822,0.77967,88.74631
30.00000,558294.06578,6981605.07987,0.08278,0.05383,0.07573,0.04651,0.00372,0.77924,77.03373
31.00000,558294.40058,6981604.20002,0.05502,0.04350,0.05208,0.03720,0.00199,0.76812,87.86758
32.00000,558293.99676,6981604.63982,0.13715,0.09499,0.12643,0.09185,0.01063,0.75978,145.77723
33.00000,558294.01030,6981605.03229,0.08071,0.07070,0.08288,0.06974,0.00478,0.75257,162.36757
34.00000,558294.16311,6981604.79948,0.11398,0.06926,0.11050,0.06961,0.00650,0.74615,160.23876
35.00000,558294.54717,6981605.01849,0.05697,0.03956,0.05586,0.03883,0.00199,0.73791,163.35959
36.00000,558294.43814,6981604.69091,0.07334,0.04482,0.07158,0.04521,0.00286,0.71221,9.30145
37.00000,558294.57545,6981605.12048,0.07150,0.04579,0.06941,0.04416,0.00283,0.68162,27.25515
38.00000,558294.20091,6981604.63680,0.08541,0.06881,0.08198,0.06457,0.00491,0.67261,176.03215
39.00000,558294.39600,6981604.40483,0.07298,0.05330,0.06692,0.05205,0.00330,0.64923,90.11383
40.00000,558294.32573,6981604.92146,0.07057,0.04495,0.06887,0.04288,0.00274,0.59719,166.33619
41.00000,558293.99969,6981604.92017,0.11508,0.03353,0.10521,0.02983,0.00328,0.57051,59.20381
42.00000,558293.82684,6981604.88941,0.06704,0.04031,0.06476,0.03930,0.00234,0.53518,105.40577
43.00000,558294.75784,6981604.50617,0.25520,0.11243,0.24942,0.11344,0.02311,0.99907,79.45094
44.00000,558295.08405,6981604.42084,0.15950,0.08010,0.14870,0.07885,0.01043,0.99890,99.22532
