clast_ID,x,y,Ellipse_major_axis,Ellipse_minor_axis,Clast_length,Clast_width,Surface_area,Score,Orientation
8294.00000,558267.20998,6981582.22966,0.04746,0.03656,0.04480,0.03504,0.00159,0.74458,57.30843
8295.00000,558267.19374,6981581.87466,0.03724,0.02891,0.03608,0.02624,0.00103,0.74263,153.40841
8296.00000,558267.93866,6981582.04128,0.05002,0.02947,0.05057,0.02999,0.00136,0.73567,33.41608
8297.00000,558268.04962,6981582.18902,0.04806,0.04024,0.04844,0.03963,0.00172,0.71241,1.58670
8298.00000,558267.52217,6981582.54906,0.04860,0.03605,0.04943,0.03736,0.00159,0.69554,133.67623
8299.00000,558267.13376,6981582.46783,0.05195,0.04023,0.04887,0.03465,0.00184,0.68565,134.56458
8300.00000,558267.71963,6981582.31861,0.05952,0.03834,0.05696,0.03549,0.00202,0.68355,68.03638
8301.00000,558267.78449,6981581.70272,0.05437,0.02885,0.05334,0.02768,0.00143,0.66548,30.13667
8302.00000,558268.01515,6981582.42909,0.04828,0.03690,0.04378,0.03605,0.00157,0.65523,106.50430
8303.00000,558267.73793,6981582.12111,0.06687,0.03534,0.06650,0.03549,0.00213,0.63868,7.14630
8304.00000,558268.04268,6981582.57372,0.03942,0.03105,0.03743,0.03119,0.00114,0.63535,138.68509
8305.00000,558267.59353,6981582.02979,0.05597,0.02888,0.05044,0.02714,0.00147,0.62988,19.99612
8306.00000,558267.68575,6981582.12341,0.04647,0.03437,0.04430,0.03516,0.00145,0.61040,173.59065
8307.00000,558267.17230,6981582.28301,0.03485,0.02801,0.03265,0.02638,0.00093,0.57781,129.83267
8308.00000,558267.57105,6981582.44086,0.04480,0.03523,0.04281,0.03427,0.00143,0.57683,132.47126
8309.00000,558267.52937,6981581.83876,0.04615,0.03123,0.04358,0.03036,0.00132,0.56454,45.94637
8310.00000,558267.87804,6981582.17499,0.06228,0.04503,0.06049,0.04653,0.00248,0.54244,161.08418
8311.00000,558267.89740,6981581.89826,0.06349,0.02676,0.05749,0.02443,0.00157,0.52029,84.47534
8312.00000,558267.58109,6981582.59992,0.04019,0.02284,0.03988,0.02216,0.00089,0.51513,96.59937
8313.00000,558267.38344,6981582.16980,0.03387,0.02771,0.03276,0.02808,0.00091,0.51339,70.16137
8314.00000,558269.05791,6981582.32918,0.05415,0.03265,0.05064,0.03193,0.00161,0.94381,109.47829
8315.00000,558268.67266,6981581.98200,0.04517,0.03995,0.04400,0.04008,0.00165,0.85173,171.29206
8316.00000,558268.44765,6981582.07583,0.05045,0.02599,0.04437,0.02536,0.00120,0.82190,34.11137
8317.00000,558268.45115,6981581.99821,0.03597,0.03230,0.03467,0.03152,0.00109,0.71145,35.91434
8318.00000,558268.40668,6981581.92118,0.03799,0.02911,0.03762,0.02745,0.00105,0.67644,67.35004
8319.00000,558268.78450,6981582.03668,0.04967,0.02696,0.04843,0.02642,0.00126,0.61459,1.33702
8320.00000,558268.94372,6981582.01860,0.05008,0.03357,0.04842,0.03081,0.00153,0.59736,0.56455
8321.00000,558268.21702,6981582.06732,0.04254,0.02772,0.03976,0.02651,0.00112,0.57012,175.15570
8322.00000,558268.87640,6981582.50347,0.02829,0.02073,0.02657,0.01806,0.00058,0.56847,6.31224
8323.00000,558269.57172,6981581.99128,0.05350,0.03099,0.05284,0.03082,0.00153,0.96185,178.45978
8324.00000,558269.39133,6981582.28164,0.04407,0.03578,0.04388,0.03448,0.00145,0.95097,38.24025
8325.00000,558269.31571,6981582.14702,0.05761,0.03126,0.05544,0.03119,0.00165,0.81164,48.74622
8326.00000,558269.97072,6981582.41349,0.03569,0.02579,0.03524,0.02220,0.00087,0.79333,94.82438
8327.00000,558269.93247,6981582.47586,0.05690,0.02761,0.05196,0.02555,0.00143,0.76100,147.90942
8328.00000,558269.68018,6981582.25171,0.05923,0.03450,0.05731,0.03527,0.00186,0.72845,3.17841
8329.00000,558269.47079,6981582.29166,0.07871,0.03688,0.07387,0.03641,0.00254,0.60716,49.04664
8330.00000,558269.31078,6981582.55783,0.04532,0.02360,0.04204,0.02081,0.00103,0.52204,70.43879
8331.00000,558270.25820,6981582.43559,0.05061,0.03502,0.04779,0.03449,0.00161,0.72864,7.30373
8332.00000,558270.80853,6981582.49319,0.04838,0.02984,0.04437,0.02935,0.00132,0.68579,34.14366
8333.00000,558270.75339,6981582.46868,0.04852,0.03243,0.04673,0.03128,0.00145,0.58337,66.17930
8334.00000,558270.91962,6981582.51065,0.04051,0.03613,0.03736,0.03338,0.00134,0.54609,46.36733
8335.00000,558270.52229,6981582.44278,0.05131,0.03267,0.05499,0.03306,0.00155,0.54009,118.29904
8336.00000,558271.60159,6981581.96454,0.04651,0.04334,0.04843,0.04503,0.00180,0.99428,60.42424
8337.00000,558271.72395,6981581.78349,0.05374,0.03591,0.05294,0.03462,0.00174,0.89043,49.24689
8338.00000,558271.94559,6981582.20296,0.04332,0.03065,0.04119,0.03162,0.00124,0.85454,105.90594
8339.00000,558272.03203,6981581.90857,0.06216,0.03801,0.05955,0.03573,0.00211,0.84971,9.74736
8340.00000,558271.71869,6981581.70117,0.04455,0.03798,0.04446,0.03803,0.00153,0.84883,123.53721
8341.00000,558271.25133,6981581.87003,0.03749,0.03135,0.03612,0.02894,0.00110,0.83208,102.85515
8342.00000,558271.29146,6981581.74514,0.03889,0.02293,0.03544,0.02215,0.00087,0.80165,83.57901
8343.00000,558271.76507,6981581.91392,0.04191,0.03153,0.04067,0.02850,0.00122,0.69074,55.59041
8344.00000,558271.57334,6981582.04710,0.04528,0.04081,0.04182,0.03609,0.00167,0.63608,149.84541
8345.00000,558271.82253,6981581.72511,0.08015,0.04258,0.07923,0.04402,0.00302,0.63132,0.24915
8346.00000,558271.93091,6981581.84320,0.04413,0.03810,0.04585,0.04113,0.00153,0.57695,163.75192
8347.00000,558272.33567,6981581.89671,0.05563,0.03587,0.05024,0.03536,0.00180,0.99301,84.89069
8348.00000,558272.89926,6981581.65980,0.05031,0.04777,0.04888,0.04558,0.00215,0.99242,134.23040
8349.00000,558272.91374,6981582.41608,0.06400,0.04211,0.06388,0.04297,0.00240,0.97957,22.79368
8350.00000,558272.79068,6981582.02990,0.07352,0.03486,0.06778,0.03543,0.00231,0.97931,173.67687
8351.00000,558272.77599,6981581.85709,0.06854,0.03911,0.06708,0.03634,0.00240,0.97401,32.02422
8352.00000,558272.93968,6981581.82370,0.05346,0.04122,0.04999,0.04124,0.00196,0.90474,16.12362
8353.00000,558272.49041,6981581.96411,0.06521,0.04978,0.06164,0.04843,0.00283,0.86220,1.04533
8354.00000,558272.56191,6981582.33720,0.05722,0.02759,0.05264,0.02684,0.00143,0.82577,66.91255
8355.00000,558272.52072,6981581.88304,0.07970,0.04320,0.07513,0.04314,0.00300,0.76400,165.46704
8356.00000,558273.00087,6981582.51664,0.04365,0.03143,0.04023,0.03129,0.00128,0.74508,10.03818
8357.00000,558272.30983,6981581.79320,0.06488,0.03946,0.06120,0.03870,0.00229,0.72580,16.27860
8358.00000,558272.96871,6981581.97402,0.07424,0.03787,0.07014,0.03982,0.00250,0.66585,174.16590
8359.00000,558272.48672,6981582.15251,0.13223,0.07610,0.11548,0.07900,0.00798,0.56247,94.93894
8360.00000,558273.96852,6981582.21533,0.06690,0.04270,0.06040,0.04048,0.00252,0.98562,136.77188
8361.00000,558273.21485,6981582.55691,0.05952,0.03375,0.05962,0.03451,0.00180,0.97864,37.74560
8362.00000,558273.45048,6981582.56781,0.05130,0.04598,0.04981,0.04359,0.00211,0.97432,46.29741
8363.00000,558273.20111,6981581.82416,0.07748,0.04193,0.07525,0.03984,0.00287,0.96701,6.02151
8364.00000,558273.59505,6981582.25990,0.04905,0.03830,0.04823,0.03951,0.00171,0.96124,154.02659
8365.00000,558273.38439,6981582.40116,0.09066,0.03560,0.07526,0.03152,0.00269,0.92679,167.85439
8366.00000,558274.04522,6981581.99289,0.05739,0.04120,0.05585,0.04316,0.00211,0.92083,14.93877
8367.00000,558273.60473,6981581.76555,0.06539,0.05549,0.06267,0.05356,0.00314,0.90705,51.62770
8368.00000,558273.91852,6981582.12604,0.04338,0.02540,0.04049,0.02492,0.00105,0.87461,137.03739
8369.00000,558273.78215,6981581.87332,0.03997,0.02678,0.03987,0.02658,0.00103,0.87363,173.47332
8370.00000,558273.31317,6981581.83341,0.04328,0.02995,0.04187,0.03009,0.00122,0.70929,156.43357
8371.00000,558273.90128,6981581.80286,0.04785,0.03702,0.04584,0.03416,0.00159,0.69805,64.42522
8372.00000,558273.39391,6981582.25562,0.05842,0.02247,0.05155,0.02141,0.00122,0.68851,149.94841
8373.00000,558273.73887,6981582.18016,0.04766,0.03083,0.04693,0.02816,0.00136,0.67479,140.83599
8374.00000,558273.35472,6981581.62376,0.04447,0.03709,0.04487,0.02725,0.00124,0.65739,104.26253
8375.00000,558273.74982,6981582.55107,0.05136,0.02959,0.04816,0.02890,0.00140,0.64931,30.79070
8376.00000,558273.69688,6981582.43016,0.06175,0.03456,0.05837,0.03147,0.00192,0.64011,168.28154
8377.00000,558274.05602,6981582.57182,0.06415,0.03475,0.06168,0.03524,0.00202,0.60920,2.32265
8378.00000,558273.82298,6981582.36437,0.05116,0.03353,0.05190,0.03310,0.00155,0.59755,5.66081
8379.00000,558273.79206,6981582.25568,0.04812,0.03916,0.04920,0.03875,0.00171,0.56526,10.24267
8380.00000,558273.60622,6981582.41038,0.04600,0.03902,0.04141,0.03762,0.00159,0.54942,169.16751
8381.00000,558274.61987,6981581.97285,0.05873,0.05615,0.05871,0.05447,0.00289,0.99184,77.08942
8382.00000,558274.71708,6981581.64481,0.05447,0.03467,0.05227,0.03450,0.00171,0.95130,7.54590
8383.00000,558274.91647,6981581.97490,0.05389,0.03867,0.05357,0.03596,0.00188,0.92419,11.65074
8384.00000,558275.00125,6981582.14104,0.06391,0.03700,0.05760,0.03345,0.00209,0.91280,156.50373
8385.00000,558274.58976,6981582.51874,0.05615,0.04270,0.05393,0.04320,0.00213,0.81895,165.03143
8386.00000,558275.02719,6981581.72867,0.07041,0.04110,0.06307,0.04022,0.00246,0.81893,142.72580
8387.00000,558274.99260,6981582.33421,0.06213,0.04605,0.05978,0.04756,0.00248,0.72774,174.90865
8388.00000,558274.54569,6981582.08440,0.05642,0.03807,0.05181,0.03562,0.00190,0.70156,151.00401
8389.00000,558274.63289,6981582.18372,0.05581,0.03563,0.05345,0.03144,0.00180,0.68794,53.09341
8390.00000,558274.75172,6981582.05912,0.08493,0.04428,0.07855,0.04085,0.00324,0.65784,142.85331
